Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$57.50 /hr (est.),119600.0,Data Engineer with Cosmos DB or Cassandra DB,-1,-1,-1,Aptiva Healthcare,Remote,4.1,1,-1,-1,-1,-1,-1,-1,-1,4.2,4.2,4.1,3.9,4.2,2023-06-05 16:16:42.689276,hr
"$131,605 /yr (est.)",131605.0,"Co-op, Data Engineer",-1,-1,-1,Exo Therapeutics, MA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:16:45.989584,yr
"$105,000 /yr (est.)",105000.0,Data Engineer,-1,-1,-1,E&E Co. Ltd, CA,3.2,0,29,501 to 1000 Employees,1994,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,$100 to $500 million (USD),3.0,3.1,2.8,2.8,3.1,2023-06-05 16:17:00.132613,yr
"$4,000 /mo (est.)",48000.0,Data Center Engineer,-1,-1,-1,KNN IT, OR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:17:01.859399,mo
"$78,860 /yr (est.)",78860.0,Data Engineer,0,1,1,IntelliBridge LLC, FL,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,4.2,3.8,4.0,2023-06-05 16:17:06.349918,yr
"$93,027 /yr (est.)",93027.0,Data Engineer,0,1,1,American Power & Gas, FL,2.5,0,13,201 to 500 Employees,2010,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD),2.6,2.8,2.4,2.7,2.7,2023-06-05 16:17:15.760795,yr
"$122,423 /yr (est.)",122423.0,Data Engineer,0,2,-1,Zllius Inc., IL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:17:20.020278,yr
"$130,500 /yr (est.)",130500.0,Big Data Engineer,0,1,-1,Basis Technologies, IL,4.3,0,22,501 to 1000 Employees,2001,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.1,4.3,4.3,4.0,4.3,2023-06-05 16:17:24.869055,yr
$70.00 /hr (est.),145600.0,Data Analyst/ Data Visualization Engineer,10,2,-1,adroitts,Remote,4.5,1,-1,-1,-1,-1,-1,-1,-1,4.2,3.6,4.0,4.2,4.5,2023-06-05 16:17:26.843664,hr
"$225,000 /yr (est.)",225000.0,Data Engineer,3,1,-1,Stytch, NY,5.0,0,3,1 to 50 Employees,2020,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,5.0,4.7,5.0,4.9,4.8,2023-06-05 16:17:29.602094,yr
"$85,033 /yr (est.)",85033.0,Data Engineer,2,2,1,Ixaris, MT,3.6,0,9,501 to 1000 Employees,2014,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,3.7,3.3,3.6,3.3,3.6,2023-06-05 16:17:31.598402,yr
"$87,080 /yr (est.)",87080.0,Junior Data Engineer,0,1,0,Big-D Companies, UT,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.0,3.0,1.0,1.0,1.0,2023-06-05 16:17:33.722255,yr
$55.00 /hr (est.),114400.0,Senior Data Engineer,0,1,-1,shreetek, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:17:36.602680,hr
$50.00 /hr (est.),104000.0,Data Logging Engineer,2,1,-1,GTA (Global Technology Associates), TX,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.4,4.0,4.4,4.0,3.4,2023-06-05 16:17:41.160587,hr
"$77,619 /yr (est.)",77619.0,Data Engineer I,7,1,0,Central City Concern, OR,3.4,0,44,Unknown,1979,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable,3.0,3.2,3.0,2.4,2.8,2023-06-05 16:17:44.061076,yr
$65.50 /hr (est.),136240.0,Data Engineer,5,2,1,Simplelogix, IL,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.3,3.7,3.7,3.8,2023-06-05 16:17:46.436808,hr
"$120,000 /yr (est.)",120000.0,Software Engineer – Data Analytics,0,1,-1,Endera, CA,4.5,0,4,51 to 200 Employees,2019,Company - Private,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,5.0,4.7,5.0,5.0,4.7,2023-06-05 16:17:49.278295,yr
$34.00 /hr (est.),70720.0,BHJOB15656_20058 - Data Engineer,2,1,-1,Myticas Consulting,Arizona,3.9,0,-1,-1,-1,-1,-1,-1,-1,4.2,4.1,3.6,3.9,4.3,2023-06-05 16:17:51.242262,hr
$65.00 /hr (est.),135200.0,DATA ENGINEER,8,2,-1,infinity quest, WA,3.9,0,17,201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.6,3.8,3.7,3.6,2023-06-05 16:17:53.956076,hr
$65.00 /hr (est.),135200.0,Data Engineer,8,2,1,zettalogix.Inc,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:17:55.751383,hr
"$109,270 /yr (est.)",109270.0,Big Data Engineer,0,2,1,Alt Shift USA, TX,4.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.6,4.0,4.0,4.0,2023-06-05 16:18:03.661827,yr
$57.50 /hr (est.),119600.0,AWS Data Engineer,5,1,1,Sthavirsoft Inc, NJ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:18:06.591438,hr
$42.50 /hr (est.),88400.0,Network Data Engineer,7,2,0,Innova IT Services LLC, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:18:11.646060,hr
"$180,000 /yr (est.)",180000.0,Data Engineer,5,2,1,Dataworks,Remote,-1,1,2,1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-06-05 16:18:16.747282,yr
$64.00 /hr (est.),133120.0,Data Engineer,8,2,-1,kairos technologies, MA,4.6,0,20,51 to 200 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,4.1,4.2,4.3,4.2,2023-06-05 16:18:20.939099,hr
$50.00 /hr (est.),104000.0,Data Engineer,8,2,1,Maven Workforce, GA,4.1,0,15,51 to 200 Employees,2008,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.3,3.9,4.2,4.3,4.2,2023-06-05 16:18:22.895455,hr
$60.00 /hr (est.),124800.0,Data Engineer Level 3,1,2,-1,Infoorigin Inc,Remote,3.1,1,-1,-1,-1,-1,-1,-1,-1,3.2,3.1,3.0,2.9,2.8,2023-06-05 16:18:24.705877,hr
